id,pop,domain,Brazil
Parque Palmas do Tremembé,28550,BRA,209346619
Tremembé,20095,BRA,209346619
Cantareira,613,BRA,209346619
Jardim das Pedras,50345,BRA,209346619
Jardim Guapira,95704,BRA,209346619
Parada Inglesa,34958,BRA,209346619
Tucuruvi,16643,BRA,209346619
Vila Gustavo,47958,BRA,209346619
Cohab Jova Rural,30478,BRA,209346619
Jaçanã,41479,BRA,209346619
Parque Edu Chaves,16628,BRA,209346619
Vila Medeiros,54022,BRA,209346619
Jardim Brasil,60917,BRA,209346619
Jardim Japão,46285,BRA,209346619
Parque Novo Mundo,46689,BRA,209346619
Vila Maria,15569,BRA,209346619
Vila Isolina Mazzei,41475,BRA,209346619
Vila Guilherme,7682,BRA,209346619
Coroa,3430,BRA,209346619
Gomes Cardim,30190,BRA,209346619
Tatuapé,15182,BRA,209346619
Chácara do Piqueri,24765,BRA,209346619
Parque São Jorge,28464,BRA,209346619
Penha,41145,BRA,209346619
Tiquatira,38178,BRA,209346619
Vila Esperança,25791,BRA,209346619
Vila Ré,27338,BRA,209346619
Rui Barbosa,45525,BRA,209346619
Estação Eng. Goulart,35585,BRA,209346619
Cangaíba,45285,BRA,209346619
Parque Ecológico do Tietê,14036,BRA,209346619
USP Leste I,791,BRA,209346619
USP Leste II,901,BRA,209346619
Ermelino Matarazzo,66408,BRA,209346619
Parque Buturussu,44974,BRA,209346619
Ponte Rasa,44756,BRA,209346619
Burgo Paulista,45125,BRA,209346619
Limoeiro,23112,BRA,209346619
Laranja da China,25793,BRA,209346619
Pedro José Nunes,9865,BRA,209346619
Parque Cruzeiro do Sul,47349,BRA,209346619
Vila Jacuí,28862,BRA,209346619
Parada XV,48418,BRA,209346619
Itaquera,35225,BRA,209346619
Arena Corinthians,1202,BRA,209346619
Vila Campanela,36696,BRA,209346619
Araucárias,25138,BRA,209346619
Parque Guarani,25097,BRA,209346619
Rio Verde,39184,BRA,209346619
Saudade,32785,BRA,209346619
São Miguel Paulista,22036,BRA,209346619
Cidade Nitro-Operária,25398,BRA,209346619
Jardim Helena,97218,BRA,209346619
Jardim Romano,32191,BRA,209346619
Vila Curuçá,67453,BRA,209346619
Jardim Robru,73005,BRA,209346619
Lajeado,51770,BRA,209346619
Fábrica Bandeirantes,112621,BRA,209346619
Fazenda Itaim,95360,BRA,209346619
Itaim Paulista,38486,BRA,209346619
Jardim das Oliveiras,71664,BRA,209346619
Vila Califórnia,44057,BRA,209346619
Vila Carrão,40340,BRA,209346619
Jardim Anália Franco,33284,BRA,209346619
Vila Formosa,58902,BRA,209346619
Barreira Grande,42345,BRA,209346619
Aricanduva,47229,BRA,209346619
Frei Mont'Alverne,25533,BRA,209346619
Vila Matilde,39182,BRA,209346619
Cidade Patriarca,38843,BRA,209346619
Cidade A.E.Carvalho,31263,BRA,209346619
Artur Alvim,64312,BRA,209346619
Cidade Líder,47850,BRA,209346619
Santa Marcelina,34127,BRA,209346619
Parque Savoy,53136,BRA,209346619
Vila Carmosina,47363,BRA,209346619
Fazenda Caguaçu,26203,BRA,209346619
Parque do Carmo,2658,BRA,209346619
Gleba do Pêssego,45861,BRA,209346619
José Bonifácio,82492,BRA,209346619
Guaianases,62518,BRA,209346619
Juscelino Kubitschek,46798,BRA,209346619
Cidade Tiradentes,130741,BRA,209346619
Santa Etelvina,63326,BRA,209346619
Terceira Divisão,47960,BRA,209346619
Iguatemi,45674,BRA,209346619
Sítio Carrãozinho,56066,BRA,209346619
Parque São Rafael,73821,BRA,209346619
Rodolfo Pirani,74152,BRA,209346619
Ipiranga,12015,BRA,209346619
Sacomã,11154,BRA,209346619
Alto do Ipiranga,19199,BRA,209346619
Vila São José,14123,BRA,209346619
Vila Monumento,20007,BRA,209346619
Vila Independência,10687,BRA,209346619
Vila Carioca,29086,BRA,209346619
Moinho Velho,44751,BRA,209346619
Vila Heliópolis,65484,BRA,209346619
São João Clímaco,24473,BRA,209346619
Anchieta,29929,BRA,209346619
Vila das Mercês,96799,BRA,209346619
Parque do Estado,18,BRA,209346619
Água Funda,38165,BRA,209346619
Jardim da Saúde,19402,BRA,209346619
Vila Gumercindo,24420,BRA,209346619
Jardim Previdência,21157,BRA,209346619
Tamanduateí,5470,BRA,209346619
Orfanato,34306,BRA,209346619
Vila Zelina,65914,BRA,209346619
Linhas Corrente,27207,BRA,209346619
Vila Ema,43317,BRA,209346619
Parque São Lucas,67514,BRA,209346619
Vila Cardoso Franco,33860,BRA,209346619
Parque Santa Madalena,42227,BRA,209346619
Jardim Colorado,51465,BRA,209346619
Teotônio Vilela,77973,BRA,209346619
Fazenda da Juta,61190,BRA,209346619
São Mateus,62747,BRA,209346619
Cidade IV Centenário,41799,BRA,209346619
Rio Claro,19189,BRA,209346619
Cidade Satélite,31947,BRA,209346619
Joaquim Nabuco,12518,BRA,209346619
Vieira de Moraes,28477,BRA,209346619
Campo Belo,9203,BRA,209346619
Congonhas,406,BRA,209346619
Jardim Aeroporto,20430,BRA,209346619
Vila Santa Catarina,59782,BRA,209346619
Jabaquara,31646,BRA,209346619
Cidade Vargas,37520,BRA,209346619
Jardim Bom Clima,86043,BRA,209346619
Cupecê,56232,BRA,209346619
Jardim Miriam,119967,BRA,209346619
Vila Missionária,73019,BRA,209346619
Jurubatuba,24943,BRA,209346619
Vila São Pedro,38684,BRA,209346619
Campo Grande,35357,BRA,209346619
Vila Sabará,16941,BRA,209346619
Mar Paulista,51205,BRA,209346619
Pedreira,112381,BRA,209346619
Vila Socorro,11232,BRA,209346619
Parque Interlagos,26819,BRA,209346619
Jardim Represa,17821,BRA,209346619
Rio Bonito,43759,BRA,209346619
SESC Interlagos,51598,BRA,209346619
Jardim Presidente,69281,BRA,209346619
Vila Natal,63335,BRA,209346619
Grajaú,75161,BRA,209346619
Cocaia,99304,BRA,209346619
Belmira Marin,126252,BRA,209346619
Bororé,20821,BRA,209346619
Jaceguava,6889,BRA,209346619
Parelheiros,146798,BRA,209346619
Marsilac,9266,BRA,209346619
Jardim Emburá,2185,BRA,209346619
Granja Julieta,40675,BRA,209346619
Chácara Flora,12246,BRA,209346619
Santo Amaro,18546,BRA,209346619
Vila Miranda,13882,BRA,209346619
Jardim São Luís,72487,BRA,209346619
Centro Empresarial,110894,BRA,209346619
Guarapiranga,76858,BRA,209346619
Jardim Capela,111378,BRA,209346619
Riviera,38574,BRA,209346619
Jardim Turquesa,59388,BRA,209346619
Morro do Índio,25351,BRA,209346619
Jardim Ângela,76741,BRA,209346619
Capão Redondo,38097,BRA,209346619
Jardim Sônia Ingá,20522,BRA,209346619
Adventista,94024,BRA,209346619
Parque Fernanda,117262,BRA,209346619
Morumbi,12557,BRA,209346619
Jóquei Clube,2581,BRA,209346619
Fazenda Morumbi,20555,BRA,209346619
Real Parque,7997,BRA,209346619
Paraisópolis,72555,BRA,209346619
Jardim Vitória Régia,38994,BRA,209346619
Vila Suzana,57120,BRA,209346619
Parque Arariba,68050,BRA,209346619
Jardim Mitsutani,70307,BRA,209346619
Pirajussara,38259,BRA,209346619
Jardim Umarizal,59546,BRA,209346619
Portal do Morumbi,25333,BRA,209346619
Jardim Jussara,22496,BRA,209346619
Vila Sônia,31280,BRA,209346619
Jardim Maria do Carmo,44639,BRA,209346619
Jardim Cambará,46334,BRA,209346619
Jardim João XXIII,43858,BRA,209346619
Raposo Tavares,27236,BRA,209346619
Rio Pequeno,41373,BRA,209346619
Jardim Ester Yolanda,40502,BRA,209346619
Jardim Adalgiza,49756,BRA,209346619
Parque Continental,21497,BRA,209346619
Jaguaré,33885,BRA,209346619
Cidade Universitária,2283,BRA,209346619
Butantã,6873,BRA,209346619
Jardim Caxingui,8514,BRA,209346619
Jardim Bonfiglioli,34045,BRA,209346619
#IBGEID_3500105,35068,BRA,209346619
#IBGEID_3500204,3562,BRA,209346619
#IBGEID_3500303,36305,BRA,209346619
#IBGEID_3500402,8180,BRA,209346619
#IBGEID_3500501,18705,BRA,209346619
#IBGEID_3500550,6075,BRA,209346619
#IBGEID_3500600,3451,BRA,209346619
#IBGEID_3500709,37214,BRA,209346619
#IBGEID_3500758,6025,BRA,209346619
#IBGEID_3500808,4166,BRA,209346619
#IBGEID_3500907,4160,BRA,209346619
#IBGEID_3501004,16184,BRA,209346619
#IBGEID_3501103,4099,BRA,209346619
#IBGEID_3501152,18628,BRA,209346619
#IBGEID_3501202,3679,BRA,209346619
#IBGEID_3501301,24915,BRA,209346619
#IBGEID_3501400,5227,BRA,209346619
#IBGEID_3501509,3222,BRA,209346619
#IBGEID_3501608,239597,BRA,209346619
#IBGEID_3501707,40504,BRA,209346619
#IBGEID_3501806,5969,BRA,209346619
#IBGEID_3501905,72195,BRA,209346619
#IBGEID_3502002,4995,BRA,209346619
#IBGEID_3502101,57157,BRA,209346619
#IBGEID_3502200,25228,BRA,209346619
#IBGEID_3502309,6724,BRA,209346619
#IBGEID_3502408,4115,BRA,209346619
#IBGEID_3502507,36157,BRA,209346619
#IBGEID_3502606,4196,BRA,209346619
#IBGEID_3502705,24374,BRA,209346619
#IBGEID_3502754,22364,BRA,209346619
#IBGEID_3502804,197016,BRA,209346619
#IBGEID_3502903,34146,BRA,209346619
#IBGEID_3503000,5620,BRA,209346619
#IBGEID_3503109,6357,BRA,209346619
#IBGEID_3503158,2469,BRA,209346619
#IBGEID_3503208,236072,BRA,209346619
#IBGEID_3503307,134236,BRA,209346619
#IBGEID_3503356,1791,BRA,209346619
#IBGEID_3503406,8560,BRA,209346619
#IBGEID_3503505,3886,BRA,209346619
#IBGEID_3503604,11129,BRA,209346619
#IBGEID_3503703,9668,BRA,209346619
#IBGEID_3503802,54408,BRA,209346619
#IBGEID_3503901,89824,BRA,209346619
#IBGEID_3503950,1822,BRA,209346619
#IBGEID_3504008,104386,BRA,209346619
#IBGEID_3504107,142761,BRA,209346619
#IBGEID_3504206,15189,BRA,209346619
#IBGEID_3504305,5403,BRA,209346619
#IBGEID_3504404,13649,BRA,209346619
#IBGEID_3504503,90655,BRA,209346619
#IBGEID_3504602,17502,BRA,209346619
#IBGEID_3504701,5735,BRA,209346619
#IBGEID_3504800,9068,BRA,209346619
#IBGEID_3504909,10945,BRA,209346619
#IBGEID_3505005,3469,BRA,209346619
#IBGEID_3505104,7402,BRA,209346619
#IBGEID_3505203,35264,BRA,209346619
#IBGEID_3505302,36126,BRA,209346619
#IBGEID_3505351,5724,BRA,209346619
#IBGEID_3505401,7659,BRA,209346619
#IBGEID_3505500,122098,BRA,209346619
#IBGEID_3505609,32812,BRA,209346619
#IBGEID_3505708,274182,BRA,209346619
#IBGEID_3505807,20953,BRA,209346619
#IBGEID_3505906,62508,BRA,209346619
#IBGEID_3506003,376818,BRA,209346619
#IBGEID_3506102,77496,BRA,209346619
#IBGEID_3506201,2980,BRA,209346619
#IBGEID_3506300,11148,BRA,209346619
#IBGEID_3506359,63249,BRA,209346619
#IBGEID_3506409,8034,BRA,209346619
#IBGEID_3506508,123638,BRA,209346619
#IBGEID_3506607,32598,BRA,209346619
#IBGEID_3506706,14923,BRA,209346619
#IBGEID_3506805,12329,BRA,209346619
#IBGEID_3506904,11730,BRA,209346619
#IBGEID_3507001,60997,BRA,209346619
#IBGEID_3507100,25448,BRA,209346619
#IBGEID_3507159,3954,BRA,209346619
#IBGEID_3507209,837,BRA,209346619
#IBGEID_3507308,4823,BRA,209346619
#IBGEID_3507407,16046,BRA,209346619
#IBGEID_3507456,2653,BRA,209346619
#IBGEID_3507506,146497,BRA,209346619
#IBGEID_3507605,168668,BRA,209346619
#IBGEID_3507704,5686,BRA,209346619
#IBGEID_3507753,2865,BRA,209346619
#IBGEID_3507803,24939,BRA,209346619
#IBGEID_3507902,24403,BRA,209346619
#IBGEID_3508009,19878,BRA,209346619
#IBGEID_3508108,17144,BRA,209346619
#IBGEID_3508207,4481,BRA,209346619
#IBGEID_3508306,4264,BRA,209346619
#IBGEID_3508405,49707,BRA,209346619
#IBGEID_3508504,94263,BRA,209346619
#IBGEID_3508603,33327,BRA,209346619
#IBGEID_3508702,18985,BRA,209346619
#IBGEID_3508801,17767,BRA,209346619
#IBGEID_3508900,4191,BRA,209346619
#IBGEID_3509007,101470,BRA,209346619
#IBGEID_3509106,5874,BRA,209346619
#IBGEID_3509205,76801,BRA,209346619
#IBGEID_3509254,28549,BRA,209346619
#IBGEID_3509304,10542,BRA,209346619
#IBGEID_3509403,26167,BRA,209346619
#IBGEID_3509452,6024,BRA,209346619
#IBGEID_3509502,1204073,BRA,209346619
#IBGEID_3509601,84650,BRA,209346619
#IBGEID_3509700,52088,BRA,209346619
#IBGEID_3509809,4965,BRA,209346619
#IBGEID_3509908,12540,BRA,209346619
#IBGEID_3509957,5138,BRA,209346619
#IBGEID_3510005,31280,BRA,209346619
#IBGEID_3510104,2793,BRA,209346619
#IBGEID_3510153,5216,BRA,209346619
#IBGEID_3510203,47138,BRA,209346619
#IBGEID_3510302,20706,BRA,209346619
#IBGEID_3510401,55768,BRA,209346619
#IBGEID_3510500,121532,BRA,209346619
#IBGEID_3510609,400927,BRA,209346619
#IBGEID_3510708,12326,BRA,209346619
#IBGEID_3510807,30380,BRA,209346619
#IBGEID_3510906,2523,BRA,209346619
#IBGEID_3511003,21006,BRA,209346619
#IBGEID_3511102,121862,BRA,209346619
#IBGEID_3511201,7804,BRA,209346619
#IBGEID_3511300,9237,BRA,209346619
#IBGEID_3511409,19985,BRA,209346619
#IBGEID_3511508,48949,BRA,209346619
#IBGEID_3511607,18148,BRA,209346619
#IBGEID_3511706,17190,BRA,209346619
#IBGEID_3511904,8617,BRA,209346619
#IBGEID_3512001,18468,BRA,209346619
#IBGEID_3512100,6210,BRA,209346619
#IBGEID_3512209,28050,BRA,209346619
#IBGEID_3512308,17896,BRA,209346619
#IBGEID_3512407,24528,BRA,209346619
#IBGEID_3512506,6058,BRA,209346619
#IBGEID_3512605,4681,BRA,209346619
#IBGEID_3512704,4055,BRA,209346619
#IBGEID_3512803,72252,BRA,209346619
#IBGEID_3512902,7307,BRA,209346619
#IBGEID_3513009,249210,BRA,209346619
#IBGEID_3513108,35292,BRA,209346619
#IBGEID_3513207,8631,BRA,209346619
#IBGEID_3513306,2073,BRA,209346619
#IBGEID_3513405,82238,BRA,209346619
#IBGEID_3513504,130705,BRA,209346619
#IBGEID_3513603,21547,BRA,209346619
#IBGEID_3513702,33718,BRA,209346619
#IBGEID_3513801,423884,BRA,209346619
#IBGEID_3513850,1793,BRA,209346619
#IBGEID_3513900,11146,BRA,209346619
#IBGEID_3514007,8929,BRA,209346619
#IBGEID_3514106,27315,BRA,209346619
#IBGEID_3514205,2115,BRA,209346619
#IBGEID_3514304,8873,BRA,209346619
#IBGEID_3514403,46793,BRA,209346619
#IBGEID_3514502,12445,BRA,209346619
#IBGEID_3514601,9868,BRA,209346619
#IBGEID_3514700,6102,BRA,209346619
#IBGEID_3514809,15494,BRA,209346619
#IBGEID_3514908,17772,BRA,209346619
#IBGEID_3514924,3651,BRA,209346619
#IBGEID_3514957,2452,BRA,209346619
#IBGEID_3515004,273726,BRA,209346619
#IBGEID_3515103,69385,BRA,209346619
#IBGEID_3515129,3214,BRA,209346619
#IBGEID_3515152,20773,BRA,209346619
#IBGEID_3515186,44330,BRA,209346619
#IBGEID_3515194,4829,BRA,209346619
#IBGEID_3515202,8419,BRA,209346619
#IBGEID_3515301,2766,BRA,209346619
#IBGEID_3515350,9371,BRA,209346619
#IBGEID_3515400,16036,BRA,209346619
#IBGEID_3515509,69116,BRA,209346619
#IBGEID_3515608,5783,BRA,209346619
#IBGEID_3515657,1716,BRA,209346619
#IBGEID_3515707,194276,BRA,209346619
#IBGEID_3515806,1464,BRA,209346619
#IBGEID_3515905,2917,BRA,209346619
#IBGEID_3516002,14640,BRA,209346619
#IBGEID_3516101,2676,BRA,209346619
#IBGEID_3516200,353187,BRA,209346619
#IBGEID_3516309,175844,BRA,209346619
#IBGEID_3516408,154489,BRA,209346619
#IBGEID_3516507,2776,BRA,209346619
#IBGEID_3516606,6548,BRA,209346619
#IBGEID_3516705,44390,BRA,209346619
#IBGEID_3516804,4808,BRA,209346619
#IBGEID_3516853,4789,BRA,209346619
#IBGEID_3516903,10869,BRA,209346619
#IBGEID_3517000,11409,BRA,209346619
#IBGEID_3517109,4815,BRA,209346619
#IBGEID_3517208,12168,BRA,209346619
#IBGEID_3517307,5765,BRA,209346619
#IBGEID_3517406,40790,BRA,209346619
#IBGEID_3517505,21454,BRA,209346619
#IBGEID_3517604,17157,BRA,209346619
#IBGEID_3517703,21220,BRA,209346619
#IBGEID_3517802,8323,BRA,209346619
#IBGEID_3517901,11188,BRA,209346619
#IBGEID_3518008,2000,BRA,209346619
#IBGEID_3518107,6664,BRA,209346619
#IBGEID_3518206,32939,BRA,209346619
#IBGEID_3518305,29798,BRA,209346619
#IBGEID_3518404,121798,BRA,209346619
#IBGEID_3518503,18520,BRA,209346619
#IBGEID_3518602,40105,BRA,209346619
#IBGEID_3518701,320459,BRA,209346619
#IBGEID_3518800,1379182,BRA,209346619
#IBGEID_3518859,7656,BRA,209346619
#IBGEID_3518909,5267,BRA,209346619
#IBGEID_3519006,9526,BRA,209346619
#IBGEID_3519055,14930,BRA,209346619
#IBGEID_3519071,230851,BRA,209346619
#IBGEID_3519105,11710,BRA,209346619
#IBGEID_3519204,6321,BRA,209346619
#IBGEID_3519253,9240,BRA,209346619
#IBGEID_3519303,35104,BRA,209346619
#IBGEID_3519402,12393,BRA,209346619
#IBGEID_3519501,7753,BRA,209346619
#IBGEID_3519600,60033,BRA,209346619
#IBGEID_3519709,78878,BRA,209346619
#IBGEID_3519808,8243,BRA,209346619
#IBGEID_3519907,8159,BRA,209346619
#IBGEID_3520004,24674,BRA,209346619
#IBGEID_3520103,30432,BRA,209346619
#IBGEID_3520202,9534,BRA,209346619
#IBGEID_3520301,30857,BRA,209346619
#IBGEID_3520400,34970,BRA,209346619
#IBGEID_3520426,11166,BRA,209346619
#IBGEID_3520442,26686,BRA,209346619
#IBGEID_3520509,251627,BRA,209346619
#IBGEID_3520608,4885,BRA,209346619
#IBGEID_3520707,3897,BRA,209346619
#IBGEID_3520806,3991,BRA,209346619
#IBGEID_3520905,14971,BRA,209346619
#IBGEID_3521002,37133,BRA,209346619
#IBGEID_3521101,7546,BRA,209346619
#IBGEID_3521150,5392,BRA,209346619
#IBGEID_3521200,4218,BRA,209346619
#IBGEID_3521309,16409,BRA,209346619
#IBGEID_3521408,24235,BRA,209346619
#IBGEID_3521507,7993,BRA,209346619
#IBGEID_3521606,8294,BRA,209346619
#IBGEID_3521705,17556,BRA,209346619
#IBGEID_3521804,27125,BRA,209346619
#IBGEID_3521903,15262,BRA,209346619
#IBGEID_3522000,3835,BRA,209346619
#IBGEID_3522109,101816,BRA,209346619
#IBGEID_3522158,3328,BRA,209346619
#IBGEID_3522208,175693,BRA,209346619
#IBGEID_3522307,163901,BRA,209346619
#IBGEID_3522406,94354,BRA,209346619
#IBGEID_3522505,237700,BRA,209346619
#IBGEID_3522604,74773,BRA,209346619
#IBGEID_3522653,4241,BRA,209346619
#IBGEID_3522703,43120,BRA,209346619
#IBGEID_3522802,15149,BRA,209346619
#IBGEID_3522901,13992,BRA,209346619
#IBGEID_3523008,4906,BRA,209346619
#IBGEID_3523107,370821,BRA,209346619
#IBGEID_3523206,50503,BRA,209346619
#IBGEID_3523305,17436,BRA,209346619
#IBGEID_3523404,120858,BRA,209346619
#IBGEID_3523503,20697,BRA,209346619
#IBGEID_3523602,18157,BRA,209346619
#IBGEID_3523701,6499,BRA,209346619
#IBGEID_3523800,7841,BRA,209346619
#IBGEID_3523909,173939,BRA,209346619
#IBGEID_3524006,61252,BRA,209346619
#IBGEID_3524105,41824,BRA,209346619
#IBGEID_3524204,6929,BRA,209346619
#IBGEID_3524303,77263,BRA,209346619
#IBGEID_3524402,233662,BRA,209346619
#IBGEID_3524501,7067,BRA,209346619
#IBGEID_3524600,17866,BRA,209346619
#IBGEID_3524709,57488,BRA,209346619
#IBGEID_3524808,49107,BRA,209346619
#IBGEID_3524907,6602,BRA,209346619
#IBGEID_3525003,124937,BRA,209346619
#IBGEID_3525102,44380,BRA,209346619
#IBGEID_3525201,30044,BRA,209346619
#IBGEID_3525300,150252,BRA,209346619
#IBGEID_3525409,3159,BRA,209346619
#IBGEID_3525508,13220,BRA,209346619
#IBGEID_3525607,4523,BRA,209346619
#IBGEID_3525706,37015,BRA,209346619
#IBGEID_3525805,4776,BRA,209346619
#IBGEID_3525854,3367,BRA,209346619
#IBGEID_3525904,418962,BRA,209346619
#IBGEID_3526001,20679,BRA,209346619
#IBGEID_3526100,18812,BRA,209346619
#IBGEID_3526209,31444,BRA,209346619
#IBGEID_3526308,4896,BRA,209346619
#IBGEID_3526407,28516,BRA,209346619
#IBGEID_3526506,11980,BRA,209346619
#IBGEID_3526605,7260,BRA,209346619
#IBGEID_3526704,103391,BRA,209346619
#IBGEID_3526803,68432,BRA,209346619
#IBGEID_3526902,306114,BRA,209346619
#IBGEID_3527009,7980,BRA,209346619
#IBGEID_3527108,78013,BRA,209346619
#IBGEID_3527207,88706,BRA,209346619
#IBGEID_3527256,2289,BRA,209346619
#IBGEID_3527306,48885,BRA,209346619
#IBGEID_3527405,21747,BRA,209346619
#IBGEID_3527504,2394,BRA,209346619
#IBGEID_3527603,14947,BRA,209346619
#IBGEID_3527702,5790,BRA,209346619
#IBGEID_3527801,4584,BRA,209346619
#IBGEID_3527900,2649,BRA,209346619
#IBGEID_3528007,17163,BRA,209346619
#IBGEID_3528106,8120,BRA,209346619
#IBGEID_3528205,3698,BRA,209346619
#IBGEID_3528304,3119,BRA,209346619
#IBGEID_3528403,47150,BRA,209346619
#IBGEID_3528502,100179,BRA,209346619
#IBGEID_3528601,9846,BRA,209346619
#IBGEID_3528700,5853,BRA,209346619
#IBGEID_3528809,14002,BRA,209346619
#IBGEID_3528858,3031,BRA,209346619
#IBGEID_3528908,4084,BRA,209346619
#IBGEID_3529005,238882,BRA,209346619
#IBGEID_3529104,2112,BRA,209346619
#IBGEID_3529203,26461,BRA,209346619
#IBGEID_3529302,83170,BRA,209346619
#IBGEID_3529401,472912,BRA,209346619
#IBGEID_3529500,5490,BRA,209346619
#IBGEID_3529609,3836,BRA,209346619
#IBGEID_3529658,1908,BRA,209346619
#IBGEID_3529708,22226,BRA,209346619
