,epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,datetime,days
93,11,2020-03-13,Brazil,SP,TOTAL,0,0,10,56,0,56,0.0,0.12195,0.0,,,,,2020-03-13,17
94,11,2020-03-13,Brazil,TOTAL,TOTAL,0,0,17,106,0,98,0.0,0.05044,0.0,,,,,2020-03-13,17
95,11,2020-03-14,Brazil,AL,TOTAL,0,0,0,1,0,1,0.0,0.029960000000000004,0.0,,,,,2020-03-14,18
96,11,2020-03-14,Brazil,AM,TOTAL,0,0,0,2,0,0,0.0,0.048260000000000004,0.0,,,,,2020-03-14,18
97,11,2020-03-14,Brazil,BA,TOTAL,0,0,0,7,0,2,0.0,0.047060000000000005,0.0,,,,,2020-03-14,18
98,11,2020-03-14,Brazil,DF,TOTAL,0,0,6,8,0,6,0.0,0.26532,0.0,,,,,2020-03-14,18
99,11,2020-03-14,Brazil,ES,TOTAL,0,0,0,1,0,1,0.0,0.024880000000000003,0.0,,,,,2020-03-14,18
100,11,2020-03-14,Brazil,GO,TOTAL,0,0,1,4,0,3,0.0,0.05699,0.0,,,,,2020-03-14,18
101,11,2020-03-14,Brazil,MG,TOTAL,0,0,2,4,0,2,0.0,0.0189,0.0,,,,,2020-03-14,18
102,11,2020-03-14,Brazil,MS,TOTAL,0,0,2,2,0,0,0.0,0.07197,0.0,,,,,2020-03-14,18
103,11,2020-03-14,Brazil,PE,TOTAL,0,0,5,7,0,2,0.0,0.07324,0.0,,,,,2020-03-14,18
104,11,2020-03-14,Brazil,PR,TOTAL,0,0,0,6,0,6,0.0,0.05248,0.0,,,,,2020-03-14,18
105,11,2020-03-14,Brazil,RJ,TOTAL,0,0,6,22,0,22,0.0,0.12743,0.0,,,,,2020-03-14,18
106,11,2020-03-14,Brazil,RN,TOTAL,0,0,0,1,0,1,0.0,0.02852,0.0,,,,,2020-03-14,18
107,11,2020-03-14,Brazil,RS,TOTAL,0,0,2,6,0,6,0.0,0.052739999999999995,0.0,,,,,2020-03-14,18
108,11,2020-03-14,Brazil,SC,TOTAL,0,0,2,5,0,4,0.0,0.06978999999999999,0.0,,,,,2020-03-14,18
109,11,2020-03-14,Brazil,SE,TOTAL,0,0,1,1,0,0,0.0,0.0435,0.0,,,,,2020-03-14,18
110,11,2020-03-14,Brazil,SP,TOTAL,0,0,9,65,0,65,0.0,0.14155,0.0,,,,,2020-03-14,18
