"meso.id","sarscov2","denv","pop","a10casos","a100casos","sarscov2100k","denv.100k"
3507,47147,55715,4314090,14,16,1092.86083507762,1291.46587113389
3508,4589,22479,909594,17,21,504.510803721221,2471.32237020033
3509,1616,11578,471094,18,24,343.031327081219,2457.68360454601
3510,3423,7859,599803,17,23,570.687375688351,1310.26353652783
3511,4592,720,910413,18,22,504.38647075558,79.0849867038366
3512,31248,6850,3041730,15,18,1027.31011628251,225.200790339708
3513,17420,13684,2552610,14,16,682.438758760641,536.078758603939
3514,4644,2048,507093,16,21,915.808342848353,403.870690386182
3515,342201,41183,23373277,10,12,1464.06941568356,176.196944912774
4101,3558,10021,724459,14,23,491.125101627559,1383.23907909212
4102,1454,2811,328863,14,26,442.129397347832,854.763229673146
4103,12276,17236,2263045,14,18,542.454966648918,761.62869054747
4104,2735,4675,554411,21,23,493.316330303692,843.237237356402
4105,3054,65,761629,17,24,400.982630650881,8.53433889728464
4106,14217,10094,1315226,14,20,1080.95490812986,767.472662492986
4107,2018,289,528411,17,26,381.899695502175,54.6922755203809
4108,1602,37,563545,18,24,284.271886007329,6.56558038843393
4109,939,23,437531,20,28,214.613364538741,5.25677037741326
4110,35245,665,3956837,12,14,890.736717231465,16.8063531553107
4201,15170,128,1294228,17,18,1172.12732223379,9.8900657380307
4202,13113,51,1403281,14,17,934.452900025013,3.63433980792158
4203,2994,7,415384,16,23,720.77884559829,1.68518768175953
4204,28489,1803,1832789,13,18,1554.40697210645,98.3746628771779
4205,12739,158,1186740,13,15,1073.4448994725,13.3137839796417
4206,12576,27,1032366,13,18,1218.17262482492,2.6153515323054
4301,15204,655,1979432,15,17,768.099131468017,33.0903006519042
4302,10797,38,1192495,14,19,905.412601310697,3.18659617021455
4303,1795,14,557831,16,21,321.782045099681,2.50972068601422
4304,5894,97,836299,15,18,704.771857912063,11.5987224664863
4305,31790,846,5144761,12,13,617.910141987159,16.4439125549272
4306,2156,13,718385,14,25,300.11762495041,1.80961462168614
4307,2819,11,948036,16,23,297.35157736626,1.16029349096448
5001,2251,1481,264301,21,24,851.680470372795,560.34596917908
5002,12237,32544,1134818,12,17,1078.32269139192,2867.7726296199
5003,2723,8198,438165,16,21,621.455387810528,1870.98467472299
5004,8792,13419,941702,16,21,933.628685082967,1424.97308065609
5101,17026,4522,1132447,15,23,1503.46991956356,399.312285696373
5102,3434,2781,318485,19,23,1078.22974394398,873.19653986844
5103,5856,689,357734,19,22,1636.97048645083,192.601206483029
5104,18506,834,1152451,14,17,1605.79495353815,72.3675019588685
5105,8100,2520,523349,15,21,1547.72436748709,481.51424766265
5201,1791,2278,223320,22,29,801.98817839871,1020.06089915816
5202,1257,2717,307903,19,28,408.245453925425,882.420762382958
5203,39904,77959,3586015,13,15,1112.76723605451,2173.97305923149
5204,10388,17510,1410715,17,22,736.364184119401,1241.21456141035
5205,16480,22072,1490401,15,23,1105.74268267399,1480.94371917356
5301,107922,38635,3015268,12,12,3579.18433784327,1281.31230789436
