inloco_name,ibge_name,distance_measure
Microrregião de Carazinho,Carazinho,0
Microrregião Colorado do Oeste,Colorado do Oeste,0
Microrregião Divinópolis,Divinópolis,0
Microrregião do Curimataú Oriental,Curimataú Oriental,0
Microrregião de Frederico Westphalen,Frederico Westphalen,0
Microrregião de Furos de Breves,Furos de Breves,0
Microrregião de Marabá,Marabá,0
Microrregião de Ribeirão Preto,Ribeirão Preto,0
Microrregião de Teresina,Teresina,0
Microrregião de Ituporanga,Ituporanga,0
Microrregião de Primavera do Leste,Primavera do Leste,0
Microrregião de Tangará da Serra,Tangará da Serra,0
Microrregião de Pajeú,Pajeú,0
Microrregião da Campanha Ocidental,Campanha Ocidental,0
Microrregião de Tubarão,Tubarão,0
Microrregião Varginha,Varginha,0
Microrregião de Assis,Assis,0
Microrregião Baía da Ilha Grande,Baía da Ilha Grande,0
Microrregião Noroeste de Roraima,Nordeste de Roraima,1
Microrregião Telêmaco Borba,Telêmaco Borba,0
Microrregião de Votuporanga,Votuporanga,0
Microrregião de Bauru,Bauru,0
Microrregião de Itajubá,Itajubá,0
Microrregião Muriaé,Muriaé,0
Microrregião de Picos,Picos,0
Microrregião de Traipú,Traipu,1
Microrregião de Vitória de Santo Antão,Vitória de Santo Antão,0
Microrregião de Petrolina,Petrolina,0
Microrregião de Registro,Registro,0
Microrregião de Campina Grande,Campina Grande,0
Microrregião de Jalapão,Jalapão,0
Microrregião de Miracema do Tocantins,Miracema do Tocantins,0
Microrregião Patrocínio,Patrocínio,0
Microrregião de Portel,Portel,0
Microrregião do Seridó Ocidental,Seridó Ocidental,0
Microrregião do Seridó Ocidental,Seridó Ocidental,0
Microrregião de Seridó Ocidental,Seridó Ocidental,0
Microrregião de Seridó Ocidental,Seridó Ocidental,0
Microrregião de Cruz Alta,Cruz Alta,0
Microrregião de Gramado-Canela,Gramado-Canela,0
Microrregião de João Pessoa,João Pessoa,0
Microrregião o Sertão de Cratéus,Sertão de Cratéus,0
Microrregião de Sousa,Sousa,0
Microrregião de Catanduvas,Catanduva,1
Microrregião de Guaporé,Guaporé,0
Microrregião Montanha,Montanha,0
Microrregião Frutal,Frutal,0
Microrregião de Nova Andradina,Nova Andradina,0
Microrregião de Purus,Purus,0
Microrregião de Maceió,Maceió,0
Microrregião de Recife,Recife,0
Microrregião de Redenção,Redenção,0
Microrregião de Itaporanga,Itaporanga,0
Microrregião de Juazeiro,Juazeiro,0
Microrregião de Marília,Marília,0
Microrregião Manhuaçu,Manhuaçu,0
Microrregião do Vale do Açu,Vale do Açu,0
Microrregião de Aquidauana,Aquidauana,0
Microrregião de Santiago,Santiago,0
Microrregião de Itacoatiara,Itacoatiara,0
Microrregião de Itapeva,Itapeva,0
Microrregião de Fortaleza,Fortaleza,0
Microrregião Guajara-Mirim,Guajará-Mirim,1
Microrregião de Osório,Osório,0
Microrregião Passos,Passos,0
Microrregião do Alto Parnaíba Piauiense,Alto Parnaíba Piauiense,0
Microrregião de Boa Vista,Boa Vista,0
Microrregião de Ipu,Ipu,0
Microrregião de Paragominas,Paragominas,0
Microrregião da Serra do Teixeira,Serra do Teixeira,0
Microrregião de Catolé do Rocha,Catolé do Rocha,0
Microrregião do Curimataú Ocidental,Curimataú Ocidental,0
Microrregião de Itabaiana,Itabaiana,0
Microrregião São João del-Rei,São João Del Rei,2
Microrregião de Coreaú,Coreaú,0
Microrregião de Guarulhos,Guarulhos,0
Microrregião Itabira,Itabira,0
Microrregião de Macau,Macau,0
Microrregião Pará de Minas,Pará de Minas,0
Microrregião da Aglomeração Urbana de São Luís,Aglomeração Urbana de São Luís,0
Microrregião de Criciúma,Criciúma,0
Microrregião do Médio Parnaíba Piauiense,Médio Parnaíba Piauiense,0
Microrregião do Alto Capibaribe,Alto Capibaribe,0
Microrregião de Bertolínia,Bertolínia,0
Microrregião de Franca,Franca,0
Microrregião de Não-Me-Toque,Não-Me-Toque,0
Microrregião de Passo Fundo,Passo Fundo,0
Microrregião de Rosário,Rosário,0
Microrregião Sudeste de Roraima,Sudeste de Roraima,0
Microrregião de Anápolis,Anápolis,0
Microrregião de Guamá,Guamá,0
Microrregião de Montenegro,Montenegro,0
Microrregião do Médio Araguaia,Médio Araguaia,0
Microrregião de Irecê,Irecê,0
Microrregião do Litoral Ocidental Maranhense,Litoral Ocidental Maranhense,0
Microrregião de Meruoca,Meruoca,0
Microrregião de Três Passos,Três Passos,0
Microrregião de Barreiras,Barreiras,0
Microrregião do Vale do Ipanema,Vale do Ipanema,0
Microrregião Vale do Paraíba Fluminense,Vale do Paraíba Fluminense,0
Microrregião do Médio Capibaribe,Médio Capibaribe,0
Microrregião da Baixada Maranhense,Baixada Maranhense,0
Microrregião de Bodoquena,Bodoquena,0
Microrregião de Coelho Neto,Coelho Neto,0
Microrregião Bocaiúva,Bocaiúva,0
Microrregião do Brejo Pernanbucano,Brejo Pernambucano,1
Microrregião de Suape,Suape,0
Microrregião do Agreste Potiguar,Agreste Potiguar,0
Microrregião de Araguaína,Araguaína,0
Microrregião de Macaíba,Macaíba,0
Microrregião da Mata Setentrional Pernanbucana,Mata Setentrional Pernambucana,1
Microrregião de Paranaguá,Paranaguá,0
Microrregião Paranavaí,Paranavaí,0
Microrregião Ubá,Ubá,0
Microrregião de Fernando de Noronha,Fernando de Noronha,0
Microrregião Unaí,Unaí,0
Microrregião de Garanhuns,Garanhuns,0
Microrregião de Presidente Dutra,Presidente Dutra,0
Microrregião de Porto Seguro,Porto Seguro,0
Microrregião de Arapiraca,Arapiraca,0
Microrregião de Jeremoabo,Jeremoabo,0
Microrregião de São José do Rio Preto,São José do Rio Preto,0
Microrregião da Campanha Meridional,Campanha Meridional,0
Microrregião de Campos do Jordão,Campos do Jordão,0
Microrregião Oliveira,Oliveira,0
Microrregião de Porangatu,Porangatu,0
Microrregião de Valença,Valença,0
Microrregião de Alagoinhas,Alagoinhas,0
Microrregião de Caxias do Sul,Caxias do Sul,0
Microrregião de Senhor do Bonfim,Senhor do Bonfim,0
Microrregião de Guaratinguetá,Guaratinguetá,0
Microrregião Rio de Janeiro,Rio de Janeiro,0
Microrregião de Tijucas,Tijucas,0
Microrregião do Entorno de Brasília,Entorno de Brasília,0
Microrregião Maringá,Maringá,0
Microrregião de Paraibuna/Paraitinga,Paraibuna/Paraitinga,0
Microrregião São Mateus,São Mateus,0
Microrregião de Canarana,Canarana,0
Microrregião de Mogi das Cruzes,Mogi das Cruzes,0
Microrregião de Tomé-Açu,Tomé-Açu,0
Microrregião Cachoeiro de Itapemirim,Cachoeiro de Itapemirim,0
Microrregião Grão Mogol,Grão Mogol,0
Microrregião de Itanhaém,Itanhaém,0
Microrregião Uberaba,Uberaba,0
Microrregião de Baixo Curu,Baixo Curu,0
Microrregião do Litoral Norte Alagoano,Litoral Norte Alagoano,0
Microrregião de Chorozinho,Chorozinho,0
Microrregião de Itaituba,Itaituba,0
Microrregião Novo Venécia,Nova Venécia,1
Microrregião Uberlândia,Uberlândia,0
Microrregião Guarapari,Guarapari,0
Microrregião Umuarama,Umuarama,0
Microrregião de Cariri,Cariri,0
Microrregião Afonso Cláudio,Afonso Cláudio,0
Microrregião do Litoral Lagunar,Litoral Lagunar,0
Microrregião de Dracena,Dracena,0
Microrregião de Guanambi,Guanambi,0
Microrregião de Juruá,Juruá,0
Microrregião do Litoral Nordeste,Litoral Nordeste,0
Microrregião de Mazagão,Mazagão,0
Microrregião de Seridó Oriental,Seridó Oriental,0
Microrregião de Seridó Oriental,Seridó Oriental,0
Microrregião do Seridó Oriental,Seridó Oriental,0
Microrregião do Seridó Oriental,Seridó Oriental,0
Microrregião de São Mateus do Sul,São Mateus do Sul,0
Microrregião de Bragantina,Bragantina,0
Microrregião de Cerro Azul,Cerro Azul,0
Microrregião Itapemirim,Itapemirim,0
Microrregião de Cametá,Cametá,0
Microrregião do Cariri Oriental,Cariri Oriental,0
Microrregião Viçosa,Viçosa,0
Microrregião de Birigui,Birigui,0
Microrregião Piui,Piuí,1
Microrregião de São Miguel do Araguaia,São Miguel do Araguaia,0
Microrregião Cataguases,Cataguases,0
