"","State","City","0.001","0.005","0.1","0.2","0.4","0.5","0.6","0.8","1.0","1.2","1.4","1.6","1.8","2.0","2.5","3.0","Grupo_menor","Grupo_maior","Grupo"
"64","SP","BARRINHA",31,31,31,30,28,30,28,29,27,29,27,27,27,28,27,26,"Medium Risk","Medium Risk","Medium Risk"
"65","SP","BARUERI",6,6,6,6,5,6,5,6,5,6,5,5,6,7,6,6,"High Risk","High Risk","High Risk"
"66","SP","BASTOS",30,30,30,29,29,30,28,30,28,30,28,28,29,29,29,28,"Medium Risk","Low Risk","Medium Risk"
"67","SP","BATATAIS",27,27,27,26,25,27,25,26,25,26,25,24,25,26,25,24,"Medium Risk","Medium Risk","Medium Risk"
"68","SP","BAURU",19,19,19,18,18,19,17,19,17,18,17,17,17,18,17,17,"High Risk","High Risk","High Risk"
"69","SP","BEBEDOURO",26,27,27,26,25,26,25,26,24,26,24,24,25,25,25,24,"Medium Risk","Medium Risk","Medium Risk"
"70","SP","BENTO DE ABREU",35,35,35,34,33,35,33,34,33,34,33,33,33,34,34,33,"Low Risk","Low Risk","Low Risk"
"71","SP","BERNARDINO DE CAMPOS",31,31,31,30,29,30,29,30,28,29,28,27,28,28,28,27,"Medium Risk","Medium Risk","Medium Risk"
"72","SP","BERTIOGA",15,16,16,15,14,15,14,15,14,15,14,13,14,15,14,14,"High Risk","High Risk","High Risk"
"73","SP","BILAC",34,35,35,34,33,34,32,34,32,33,32,31,32,33,32,32,"Low Risk","Low Risk","Low Risk"
"74","SP","BIRIGUI",26,27,27,26,25,26,25,26,24,26,24,24,24,25,24,24,"Medium Risk","Medium Risk","Medium Risk"
"75","SP","BIRITIBA MIRIM",19,19,19,18,17,19,17,18,17,18,16,16,17,17,17,16,"High Risk","High Risk","High Risk"
"76","SP","BOA ESPERANÇA DO SUL",32,32,32,31,30,31,30,31,29,30,29,28,29,30,29,28,"Medium Risk","Low Risk","Low Risk"
"77","SP","BOCAINA",31,32,32,31,30,31,29,31,29,30,29,28,29,30,29,28,"Medium Risk","Low Risk","Low Risk"
"78","SP","BOFETE",23,24,24,23,22,23,21,23,21,23,21,21,21,22,22,21,"Medium Risk","Medium Risk","Medium Risk"
"79","SP","BOITUVA",18,18,18,17,16,18,16,18,16,18,16,16,16,17,17,16,"High Risk","High Risk","High Risk"
"80","SP","BOM JESUS DOS PERDÕES",20,20,20,19,18,20,18,19,18,19,18,17,18,18,18,17,"High Risk","High Risk","High Risk"
"81","SP","BOM SUCESSO DE ITARARÉ",36,39,39,38,37,38,36,37,36,37,35,35,36,36,35,35,"Low Risk","Low Risk","Low Risk"
"82","SP","BORÁ",36,39,39,38,37,39,37,39,37,38,37,37,37,38,38,37,"Low Risk","Low Risk","Low Risk"
"83","SP","BORACÉIA",36,37,37,36,34,35,34,34,33,34,32,32,32,33,32,31,"Low Risk","Low Risk","Low Risk"
"84","SP","BORBOREMA",31,31,31,30,29,31,29,30,29,30,29,28,29,30,29,28,"Medium Risk","Low Risk","Medium Risk"
"85","SP","BOREBI",36,36,36,35,34,35,33,34,32,34,32,32,32,33,32,31,"Low Risk","Low Risk","Low Risk"
