"Municipio","DRS","Minimo","Mediana","Máximo"
"MARAPOAMA","São José do Rio Preto",0.951412173783295,1.01375734785743,1.11420055282859
"NOVA ALIANÇA","São José do Rio Preto",0.948338091799734,1.0136189297356,1.14239402292866
"ITAPEVA","Sorocaba",0.937690031110241,1.01004124011084,1.11104912961264
"ALUMÍNIO","Sorocaba",0.945871536941138,1.00982607771307,1.11442636869512
"PRESIDENTE BERNARDES","Presidente Prudente",0.932388573550895,1.00916492302842,1.10573572451534
"VISTA ALEGRE DO ALTO","Barretos",0.945217601802494,1.00828171089917,1.10653091502466
"BRODOWSKI","Ribeirão Preto",0.95692922934832,1.00775445760873,1.13138290426856
"SÃO JOÃO DAS DUAS PONTES","São José do Rio Preto",0.922626411599503,1.0061215434066,1.09060558177957
"PEDREIRA","Campinas",0.934702638470248,1.00598337779047,1.10951354152276
"BARUERI","Grande São Paulo",0.933411331702095,1.00269278137544,1.10027881977249
"PARAÍSO","São José do Rio Preto",0.938206484364839,1.00204614155659,1.12122825059793
"PANORAMA","Presidente Prudente",0.926066174136709,1.0018945044884,1.0888224247708
"SANTA ERNESTINA","Araraquara",0.937191604259023,1.00132447723249,1.10911040747034
"PAULO DE FARIA","São José do Rio Preto",0.925656692795281,1.00033777911221,1.09767911688802
"ITAJOBI","São José do Rio Preto",0.919429568068063,0.999936832913753,1.11589502680978
"ILHA SOLTEIRA","Araçatuba",0.914332059780052,0.997343072794988,1.09241209064238
"PACAEMBU","Marília",0.922207930591589,0.996302845984242,1.0861405224897
"TAQUARITINGA","Araraquara",0.927107477372966,0.993769923637148,1.09313691963691
"EMBU-GUAÇU","Grande São Paulo",0.927298087691309,0.993417040971943,1.09282144081787
"ORIENTE","Marília",0.91737097060239,0.992834953299757,1.08314672559773
"ÁLVARES FLORENCE","São José do Rio Preto",0.91894033602781,0.992481524509096,1.07249589714988
"SÃO BENTO DO SAPUCAÍ","Taubaté",0.90975834219046,0.990711383099056,1.08992193942737
"BORBOREMA","Araraquara",0.915241533638231,0.986469221695273,1.08650817026414
"TEODORO SAMPAIO","Presidente Prudente",0.907394788227401,0.985484956494504,1.07804279955118
"VINHEDO","Campinas",0.918725605104214,0.985263823517627,1.08394611928554
"SÃO CAETANO DO SUL","Grande São Paulo",0.917475589195607,0.982822001267004,1.09895050426793
"AVARÉ","Bauru",0.918115861301596,0.982529741840859,1.07864845420805
"VALINHOS","Campinas",0.902550783845407,0.981509365745048,1.07490369198265
"SEVERÍNIA","Barretos",0.891657267582445,0.980869452765933,1.06830785201219
"PRESIDENTE PRUDENTE","Presidente Prudente",0.911750977022632,0.980559925888079,1.07836611206806
"TAPIRATIBA","São João da Boa Vista",0.887050894223213,0.979683338815842,1.06738460478199
"MONTE MOR","Campinas",0.892115865465052,0.976618407445563,1.0727693544979
"ITAJU","Bauru",0.909958468793361,0.976559028556444,1.09494239929661
"ARIRANHA","São José do Rio Preto",0.888998077902305,0.975961735047369,1.07785012044201
"FRANCA","Franca",0.89842176550311,0.975270977125491,1.07278005548781
"TAQUARAL","Barretos",0.914501371294636,0.974003062690635,1.06473548452166
"NAZARÉ PAULISTA","Campinas",0.911900736761911,0.973114970575689,1.06843096303397
"VOTORANTIM","Sorocaba",0.908220091615588,0.973028009235097,1.07671653333765
"PARISI","São José do Rio Preto",0.913286098733572,0.971442498104791,1.09656640000797
"LUCÉLIA","Marília",0.887352789257822,0.969658143891206,1.05352070341235
