Model,Te,Ti,Ts,Tsr,Td,meanTi,s,MedianBeta,MedianRt,MedianAssymptomatic,cinfD,csupD,cinfI,csupI
39,5,6,14,11,13,7.6,2.5,0.152327174497468,1.13468920916669,0.8,0.894113064710373,1.04200474025618,0.849681322020055,1.03743501530444
40,4,10,15,20,14,10.5555555555556,3,0.11945715433506,1.18656888533291,0.888888888888889,0.896162312310032,1.04219304940768,0.847998010846107,1.03270707137871
41,5,13,14,28,15,13.0666666666667,2,0.116790063823181,1.34169253179734,0.933333333333333,0.894445560565706,1.03981038307925,0.861282180529784,1.0421849724597
42,5,12,14,19,15,12.3333333333333,2.5,0.0986074628207089,1.18134187837457,0.833333333333333,0.89457709962014,1.04003843812481,0.85500227120172,1.03992766667691
43,5,8,14,11,14,9,3,0.13100700480859,1.14849281862174,0.833333333333333,0.893461077605732,1.04035571307686,0.853520050549369,1.03908125351517
44,6,10,15,13,14,10.5555555555556,2,0.128837698497663,1.26395278815673,0.888888888888889,0.896166023568478,1.04220174459161,0.847976230763251,1.03270707137871
45,4,13,15,20,15,13.2857142857143,2.5,0.0932388963859638,1.18580606103935,0.857142857142857,0.894272924324099,1.0398491038421,0.846784060492013,1.03266380007519
46,4,5,15,16,12,6.42857142857143,0.5,0.200295267659532,1.18727762514174,0.857142857142857,0.892620784209721,1.04175169357969,0.843300468206073,1.02900961705091
47,4,15,14,20,15,14.8333333333333,0.5,0.0831421177494959,1.16624191451614,0.833333333333333,0.898061328191762,1.04238176561393,0.855619798973818,1.04012870617443
48,5,8,13,13,14,8.71428571428572,3,0.137953306707279,1.16085713748025,0.857142857142857,0.894367809827281,1.04086986115701,0.866446726606449,1.04941157396949
49,5,7,15,19,13,8,1.5,0.161236417768524,1.19879315599865,0.875,0.895245233413144,1.0427400142332,0.846042007013068,1.03159279276164
50,6,9,13,24,14,9.4,1,0.146216717927265,1.24757786908396,0.9,0.896350600727869,1.04216711091132,0.869989887365336,1.05099237102429
