DRS,Date,Infimo,Mediana,Sup,Regiao
II,2020-08-03,126.532454032335,155.969456167458,174.166920277168,Araçatuba
II,2020-08-04,128.368040540261,159.112257162905,178.617949059419,Araçatuba
II,2020-08-05,130.212406956743,162.297634498637,183.222434026174,Araçatuba
II,2020-08-06,132.063300367648,165.523156637111,187.984843399401,Araçatuba
II,2020-08-07,133.91832473589,168.786133839313,192.908922426036,Araçatuba
II,2020-08-08,135.77503326354,172.08367118381,197.997599143908,Araçatuba
II,2020-08-09,137.630934894779,175.412704927377,203.2528604743,Araçatuba
II,2020-08-10,139.48346919146,178.770031356064,208.67562388328,Araçatuba
II,2020-08-11,141.330052372073,182.15235112996,214.265657607444,Araçatuba
II,2020-08-12,143.168054291105,185.556295422304,220.021492465891,Araçatuba
II,2020-08-13,144.994809379905,188.978455452553,225.940381182305,Araçatuba
II,2020-08-14,146.807687856154,192.415425990322,232.018323705662,Araçatuba
II,2020-08-15,148.604188941667,195.863852776753,238.250149713191,Araçatuba
II,2020-08-16,150.381953920153,199.320457909291,244.629596554265,Araçatuba
II,2020-08-17,152.138748030438,202.782052458321,251.149399034802,Araçatuba
II,2020-08-18,153.872498083819,206.24555793023,257.801435935457,Araçatuba
II,2020-08-19,155.581266369318,209.708008269856,264.576856993938,Araçatuba
II,2020-08-20,157.263249666695,213.166552899837,271.466237470708,Araçatuba
II,2020-08-21,158.916821407843,216.618470304682,278.45976679709,Araçatuba
II,2020-08-22,160.540589689661,220.06118540079,285.547452781217,Araçatuba
II,2020-08-23,162.133386714463,223.492268851128,292.719275749211,Araçatuba
II,2020-08-24,163.694233143532,226.90942714391,299.965309517995,Araçatuba
II,2020-08-25,165.22234704534,230.310502420599,307.27585504602,Araçatuba
II,2020-08-26,166.717102323476,233.69345808712,314.641517724089,Araçatuba
II,2020-08-27,168.047370494672,237.056367959921,322.053279041997,Araçatuba
II,2020-08-28,169.043269913986,240.397416314592,329.502577878811,Araçatuba
II,2020-08-29,170.004709525559,243.583251899923,336.981389426414,Araçatuba
II,2020-08-30,170.932689326323,246.433090837739,344.482248386639,Araçatuba
II,2020-08-31,171.828215856779,249.232217678536,351.998240197207,Araçatuba
II,2020-09-01,172.692295785575,251.980003610669,359.523007492635,Araçatuba
II,2020-09-02,173.525929771266,254.675967772557,367.050712716404,Araçatuba
II,2020-09-03,174.330107503938,257.319762297659,374.576005099778,Araçatuba
II,2020-09-04,175.105803975102,259.911164873815,382.094009460725,Araçatuba
II,2020-09-05,175.853976803986,262.450076248475,389.600325258918,Araçatuba
II,2020-09-06,176.575563484678,264.936509266356,397.090987797435,Araçatuba
II,2020-09-07,177.271478984358,267.370574968665,404.562413375124,Araçatuba
II,2020-09-08,177.942614310684,269.752475801528,412.011370091424,Araçatuba
II,2020-09-09,178.589834992608,272.08249216255,419.434919396376,Araçatuba
II,2020-09-10,179.213980144134,274.360972153803,426.830370276586,Araçatuba
II,2020-09-11,179.815862157954,276.58832701733,434.19526107762,Araçatuba
II,2020-09-12,180.396266945133,278.765030615836,441.527356817778,Araçatuba
II,2020-09-13,180.955953887167,280.891612487842,448.824617604743,Araçatuba
II,2020-09-14,181.495655833266,282.968648726168,456.085156756213,Araçatuba
II,2020-09-15,182.01607962449,284.996758325724,463.30722548724,Araçatuba
II,2020-09-16,182.517906369137,286.976594363731,470.489173253477,Araçatuba
II,2020-09-17,183.001791976043,288.908837584953,477.62942091479,Araçatuba
II,2020-09-18,183.468367997981,290.794194156758,484.72645922178,Araçatuba
II,2020-09-19,183.918242748615,292.633396586718,491.778861526591,Araçatuba
II,2020-09-20,184.352002074707,294.427199646064,498.785270776554,Araçatuba
II,2020-09-21,184.770210042584,296.176374594554,505.744376734698,Araçatuba
II,2020-09-22,185.173409914351,297.881707564778,512.654916786641,Araçatuba
II,2020-09-23,185.562124839243,299.543993896897,519.515653886701,Araçatuba
II,2020-09-24,185.936858643377,301.164034223077,526.325365132699,Araçatuba
II,2020-09-25,186.298096771519,302.74263363472,533.082851306224,Araçatuba
II,2020-09-26,186.646307367074,304.280603314025,539.786958060204,Araçatuba
II,2020-09-27,186.981942030217,305.778758254426,546.436573500771,Araçatuba
II,2020-09-28,187.305436457203,307.237913642301,553.030615761964,Araçatuba
II,2020-09-29,187.617211250688,308.658884411638,559.568040876406,Araçatuba
II,2020-09-30,187.917672476196,310.328562965842,566.047829184049,Araçatuba
II,2020-10-01,188.207212254319,312.077294427062,572.468980287341,Araçatuba
II,2020-10-02,188.486209439998,313.790343834776,578.830525060643,Araçatuba
II,2020-10-03,188.755030384812,315.468240278464,585.131547212455,Araçatuba
II,2020-10-04,189.014029440191,317.111521840873,591.371183632025,Araçatuba
II,2020-10-05,189.263549360496,318.720729459461,597.548615032305,Araçatuba
