Municipio,TMinimo,TMediana,TMaximo,MMinimo,MMediana,MMaximo
PRAIA GRANDE,2020-08-15,2020-08-15,2020-08-15,1.9257731958763,2.20088365243004,2.56769759450171
LEME,2020-08-15,2020-08-15,2020-08-15,0.717624107587582,0.82014183724295,0.956832143450107
CABREÚVA,2020-08-15,2020-08-15,2020-08-15,0.402203515721716,0.459661160824815,0.536271354295614
PIQUETE,2020-08-15,2020-08-15,2020-08-15,0.0517171880038698,0.0591053577187082,0.0689562506718264
CERQUILHO,2020-08-15,2020-08-15,2020-08-15,0.17013610888711,0.194441267299554,0.226848145182814
TAUBATÉ,2020-08-15,2020-08-15,2020-08-15,1.68040293040293,1.92046049188906,2.24053724053724
CATANDUVA,2020-08-15,2020-08-15,2020-08-15,1.44599316750771,1.65256362000881,1.92799089001028
NOVA CAMPINA,2020-08-15,2020-08-15,2020-08-15,0.00758068592395679,0.00866364105595062,0.0101075812319424
VOTORANTIM,2020-08-15,2020-08-15,2020-08-15,0.742304120924331,0.848347566770663,0.989738827899103
SANTÓPOLIS DO AGUAPEÍ,2020-08-15,2020-08-15,2020-08-15,0.0094758442815337,0.0108295363217528,0.0126344590420449
TABATINGA,2020-08-15,2020-08-15,2020-08-15,0.0309035476718402,0.035318340196389,0.0412047302291203
NOVA ALIANÇA,2020-08-15,2020-08-15,2020-08-15,0.0445658736867527,0.0509324270705747,0.0594211649156704
SANTANA DE PARNAÍBA,2020-08-15,2020-08-15,2020-08-15,0.948355263157893,1.08383458646617,1.26447368421053
GUARIBA,2020-08-15,2020-08-15,2020-08-15,0.47179851010997,0.539198297268534,0.629064680146623
PIRACAIA,2020-08-15,2020-08-15,2020-08-15,0.114363172568846,0.13070076865011,0.152484230091795
PAULO DE FARIA,2020-08-15,2020-08-15,2020-08-15,0.0854486173167492,0.0976555626477134,0.113931489755665
MONTE ALTO,2020-08-15,2020-08-15,2020-08-15,0.240522840898112,0.274883246740699,0.320697121197482
APARECIDA DOESTE,2020-08-15,2020-08-15,2020-10-14,0.0119701726844584,0.0147325202270257,0.0159602302459445
CRUZEIRO,2020-08-15,2020-08-15,2020-08-15,0.233236050652948,0.266555486460513,0.310981400870597
PANORAMA,2020-08-15,2020-08-15,2020-08-15,0.0393623580591571,0.0449855520676081,0.0524831440788764
GUAÍRA,2020-08-15,2020-08-15,2020-08-15,0.255860805860806,0.292412349555207,0.341147741147742
SÃO JOSÉ DOS CAMPOS,2020-08-15,2020-08-15,2020-08-15,5.22030363415291,5.96606129617476,6.96040484553726
