DRS,Date,Infimo,Mediana,Sup,Regiao
VI,2020-10-08,31296.5570301518,36820.6715673027,40683.0221121443,Bauru
VI,2020-10-09,31447.2210160135,37074.8583390564,41065.0699324701,Bauru
VI,2020-10-10,31593.4768468133,37325.9381018854,41443.7683614223,Bauru
VI,2020-10-11,31735.9155345437,37573.8786220757,41819.0165049109,Bauru
VI,2020-10-12,31874.5224661086,37818.6552440709,42190.7252190052,Bauru
VI,2020-10-13,32009.287424642,38060.2384890561,42558.7939440391,Bauru
VI,2020-10-14,32140.1983130953,38298.5879957237,42923.0982404581,Bauru
VI,2020-10-15,32267.2675276784,38533.6806459998,43283.5436799367,Bauru
VI,2020-10-16,32390.5168268613,38765.495802144,43640.0387010058,Bauru
VI,2020-10-17,32509.9790187023,38994.0178867724,43992.4996907237,Bauru
VI,2020-10-18,32625.6936491019,39219.2327303547,44340.8443238044,Bauru
VI,2020-10-19,32737.7112419417,39441.1328958443,44685.0018975333,Bauru
VI,2020-10-20,32846.0826496553,39658.6384297217,45024.8928117936,Bauru
VI,2020-10-21,32950.8545799102,39862.1903615296,45360.4181537703,Bauru
VI,2020-10-22,33052.0891975478,40059.3939883808,45691.5066752083,Bauru
VI,2020-10-23,33149.8530247573,40241.6051673915,46018.0915331727,Bauru
VI,2020-10-24,33244.2182852352,40419.0156534043,46340.1147682371,Bauru
VI,2020-10-25,33335.2595431623,40591.6898414969,46657.5215022483,Bauru
VI,2020-10-26,33423.0569833392,40759.7025594621,46970.2688784908,Bauru
VI,2020-10-27,33507.688373822,40923.1228001417,47278.3080811871,Bauru
VI,2020-10-28,33589.2260888736,41082.0073005185,47581.5758215719,Bauru
VI,2020-10-29,33667.7513958967,41253.9979246325,47880.0343732815,Bauru
VI,2020-10-30,33743.3465484853,41422.414303959,48173.6518282691,Bauru
VI,2020-10-31,33816.0958988949,41586.9738292785,48462.4057492781,Bauru
VI,2020-11-01,33886.083320355,41747.7226097824,48746.2777676272,Bauru
VI,2020-11-02,33953.39482895,41904.712627296,49025.2611413737,Bauru
VI,2020-11-03,34018.1125876201,42057.9928418141,49299.3447472345,Bauru
VI,2020-11-04,34080.3130559549,42207.6057074615,49568.5060372176,Bauru
VI,2020-11-05,34140.0773250639,42353.6041896466,49832.7443438709,Bauru
VI,2020-11-06,34197.4856112359,42496.0430700023,50092.0642626898,Bauru
VI,2020-11-07,34252.6182221787,42634.9804470842,50346.4785177764,Bauru
VI,2020-11-08,34305.5536030215,42770.4748498334,50596.0028020978,Bauru
VI,2020-11-09,34356.3704814643,42902.1737957999,50840.6623599681,Bauru
VI,2020-11-10,34405.1434251202,43022.2206099884,51080.4777924219,Bauru
VI,2020-11-11,34451.9417567314,43138.7333557258,51315.4594408116,Bauru
VI,2020-11-12,34496.8370171481,43241.8251342044,51545.634845856,Bauru
VI,2020-11-13,34539.8991555646,43327.1573348852,51771.0351531477,Bauru
VI,2020-11-14,34581.197361985,43409.2457602685,51991.6975596303,Bauru
VI,2020-11-15,34620.7985692076,43488.1998783492,52207.6605917715,Bauru
VI,2020-11-16,34658.7691849463,43564.129561832,52418.9701115152,Bauru
VI,2020-11-17,34695.1718019454,43637.1385227693,52625.6669770279,Bauru
VI,2020-11-18,34730.0645712379,43707.3227896177,52827.7828082754,Bauru
VI,2020-11-19,34763.5065917876,43774.7815216261,53025.3625346551,Bauru
VI,2020-11-20,34795.5552489656,43839.6116994475,53218.4535241658,Bauru
VI,2020-11-21,34826.2669126108,43901.9094568964,53407.1077745912,Bauru
VI,2020-11-22,34855.6957685475,43962.7940816394,53591.3777054785,Bauru
VI,2020-11-23,34883.8951859831,44047.8365572299,53771.3216066936,Bauru
VI,2020-11-24,34910.9152874397,44130.9028846465,53946.9930598579,Bauru
VI,2020-11-25,34936.8025785191,44212.043287742,54118.4378021114,Bauru
VI,2020-11-26,34961.6038586578,44303.9762046646,54285.7120889448,Bauru
VI,2020-11-27,34985.3643346264,44409.5874014882,54448.874023605,Bauru
VI,2020-11-28,35008.1282017746,44513.1875744984,54607.9854744385,Bauru
VI,2020-11-29,35029.9377261234,44614.8038110152,54763.1083217125,Bauru
VI,2020-11-30,35050.8343100577,44714.4651515248,54914.3092217529,Bauru
VI,2020-12-01,35070.8567084283,44812.1976204487,55061.6506273552,Bauru
VI,2020-12-02,35090.0408000717,44908.0228787424,55205.1884134041,Bauru
VI,2020-12-03,35108.4224511232,45001.9669867306,55344.9867048026,Bauru
VI,2020-12-04,35126.0361585194,45094.0561418183,55481.1109066804,Bauru
VI,2020-12-05,35142.9155351636,45184.317557626,55613.629344822,Bauru
VI,2020-12-06,35159.0925871545,45272.7777337627,55742.6099213127,Bauru
VI,2020-12-07,35174.5985397797,45359.4647152511,55868.124151592,Bauru
VI,2020-12-08,35189.4625336985,45444.4038187053,55990.2396476536,Bauru
VI,2020-12-09,35203.7114737104,45527.6166464009,56109.0182682844,Bauru
VI,2020-12-10,35217.372146338,45609.1282766184,56224.5280515615,Bauru
VI,2020-12-11,35230.4702294857,45686.2883339035,56336.8375827636,Bauru
VI,2020-12-12,35243.030696235,45737.4526506269,56446.0174128901,Bauru
VI,2020-12-13,35255.0772428345,45787.11732008,56552.1371232259,Bauru
VI,2020-12-14,35266.6329268745,45835.3264834227,56655.2686965197,Bauru
VI,2020-12-15,35277.719213504,45882.1209875865,56755.4803352062,Bauru
VI,2020-12-16,35288.3558654831,45927.5376350881,56852.834998127,Bauru
VI,2020-12-17,35298.5625237627,45971.6152530344,56947.4000191302,Bauru
VI,2020-12-18,35308.3579728202,46014.3918513186,57039.242554427,Bauru
VI,2020-12-19,35317.760473983,46055.9053939032,57128.4308401808,Bauru
VI,2020-12-20,35326.7873091208,46096.1923768994,57215.0316679195,Bauru
VI,2020-12-21,35335.4552729425,46135.2896194506,57299.1131872518,Bauru
VI,2020-12-22,35343.779971338,46173.2311707613,57380.7399027616,Bauru
VI,2020-12-23,35351.7757339482,46197.4140206139,57459.9715079447,Bauru
VI,2020-12-24,35359.456803731,46215.6877449898,57536.8706663979,Bauru
