"micro_reg_id","micro_reg_name","isolated","dt","ibge","ibge.conf","ibge.code"
"59138cf603205749cd0282c6","Microrregião Santa Teresa",0.405831809608758,"2020-05-14","SANTA TERESA","SANTA TERESA","32008"
"59138d8c03205749cd051b56","Microrregião Aimorés",0.418046376386033,"2020-05-14","AIMORÉS","AIMORÉS","31041"
"5913915403205749cd172a8f","Microrregião do Litoral de Aracati",0.47716241505486,"2020-05-14","LITORAL DE ARACATI","LITORAL DE ARACATI","23022"
"5913912a03205749cd165236","Microrregião de Alto Taquari",0.368521750106157,"2020-05-14","ALTO TAQUARI","ALTO TAQUARI","50003"
"5913912703205749cd164992","Microrregião de Conceição do Araguaia",0.366288353835745,"2020-05-14","CONCEIÇÃO DO ARAGUAIA","CONCEIÇÃO DO ARAGUAIA","15022"
"5913910803205749cd15aa16","Microrregião de Cornélio Procópio",0.371783312401167,"2020-05-14","CORNÉLIO PROCÓPIO","CORNÉLIO PROCÓPIO","41015"
"5913913003205749cd1674a8","Microrregião de Dianópolis",0.374219876748173,"2020-05-14","DIANÓPOLIS","DIANÓPOLIS","17008"
"5913915303205749cd172390","Microrregião de Itapipoca",0.510258668921058,"2020-05-14","ITAPIPOCA","ITAPIPOCA","23008"
"59138d8c03205749cd051b83","Microrregião Paracatu",0.390941341024837,"2020-05-14","PARACATU","PARACATU","31002"
"5913910603205749cd15a06f","Microrregião Apucarana",0.345508876160695,"2020-05-14","APUCARANA","APUCARANA","41010"
"5913915403205749cd172a0a","Microrregião de Barro",0.446760547093331,"2020-05-14","BARRO","BARRO","23031"
"5913914803205749cd16e4ab","Microrregião da Chapada das Mangabeiras",0.41394976662446,"2020-05-14","CHAPADAS DAS MANGABEIRAS","CHAPADAS DAS MANGABEIRAS","21021"
"59138d8d03205749cd051b95","Microrregião São Sebastiao do Paraíso",0.379035477501645,"2020-05-14","SÃO SEBASTIÃO DO PARAÍSO","SÃO SEBASTIÃO DO PARAÍSO","31048"
"5913912703205749cd164a0f","Microrregião de Tucuruí",0.448354787677807,"2020-05-14","TUCURUÍ","TUCURUÍ","15016"
"5913911c03205749cd16167b","Microrregião Itapecerica da Serra",0.442152772167755,"2020-05-14","ITAPECERICA DA SERRA","ITAPECERICA DA SERRA","35060"
"5913910f03205749cd15d413","Microrregião de Jales",0.353996464532105,"2020-05-14","JALES","JALES","35001"
"5913913a03205749cd16abdd","Microrregião de Rio Vermelho",0.384406249807182,"2020-05-14","RIO VERMELHO","RIO VERMELHO","52002"
"59138d8d03205749cd051b90","Microrregião de Santa Rita do Sapucaí",0.368424284331857,"2020-05-14","SANTA RITA DO SAPUCAÍ","SANTA RITA DO SAPUCAÍ","31053"
"5913911503205749cd15ee1c","Microrregião de Araraquara",0.399470465172658,"2020-05-14","ARARAQUARA","ARARAQUARA","35024"
"5913913b03205749cd16af6c","Microrregião do Vão do Paraná",0.328586680925064,"2020-05-14","VÃO DO PARANÃ","VÃO DO PARANÃ","52011"
"5913910f03205749cd15d414","Microrregião de Auriflama",0.356767170901619,"2020-05-14","AURIFLAMA","AURIFLAMA","35006"
"5913913d03205749cd16b4ad","Microrregião de Jauru",0.433551543530752,"2020-05-14","JAURU","JAURU","51014"
"5913915303205749cd172452","Microrregião de Pacajus",0.511333688274226,"2020-05-14","PACAJUS","PACAJUS","23017"
"5913910703205749cd15a3a5","Microrregião de Assaí",0.373629599310971,"2020-05-14","ASSAÍ","ASSAÍ","41014"
"5913910e03205749cd15cb16","Microrregião de Lapa",0.391648113477141,"2020-05-14","LAPA","LAPA","41036"
"591390bc03205749cd14262f","Microrregião de Seabra",0.411494766370298,"2020-05-14","SEABRA","SEABRA","29023"
"59138d8303205749cd04f858","Microrregião Lagos",0.45426635942912,"2020-05-14","LAGOS","LAGOS","33010"
"5913914203205749cd16ccb8","Microrregião da Mata Meridional Pernanbucana",0.456161501767346,"2020-05-14","MATA MERIDIONAL PERNAMBUCANA","MATA MERIDIONAL PERNAMBUCANA","26015"
"5913912303205749cd1631a9","Microrregião de Santarém",0.413896356055547,"2020-05-14","SANTARÉM","SANTARÉM","15002"
"5913911903205749cd1603d9","Microrregião de Amparo",0.389185802257228,"2020-05-14","AMPARO","AMPARO","35033"
"5913913d03205749cd16b717","Microrregião de Arinos",0.371083368000049,"2020-05-14","ARINOS","ARINOS","51005"
"59138d8c03205749cd051b72","Microrregião Itaguara",0.371249816241963,"2020-05-14","ITAGUARA","ITAGUARA","31032"
"5913913d03205749cd16b719","Microrregião de Colíder",0.381787944867012,"2020-05-14","COLÍDER","COLÍDER","51003"
"5913911c03205749cd161171","Microrregião de Osasco",0.445031132348951,"2020-05-14","OSASCO","OSASCO","35057"
"5913913d03205749cd16b712","Microrregião de Parecis",0.377372549331372,"2020-05-14","PARECIS","PARECIS","51004"
"59138d8503205749cd04ff05","Microrregião Vassouras",0.452602522796339,"2020-05-14","VASSOURAS","VASSOURAS","33014"
"59138e4203205749cd0866db","Microrregião de Araçatuba",0.368830554906343,"2020-05-14","ARAÇATUBA","ARAÇATUBA","35017"
"5913913d03205749cd16b714","Microrregião de Aripuanã",0.421356840689217,"2020-05-14","ARIPUANÃ","ARIPUANÃ","51001"
"59138d8c03205749cd051b7a","Microrregião Lavras",0.393055506122825,"2020-05-14","LAVRAS","LAVRAS","31057"
"5913915603205749cd173601","Microrregião de Serra de São Miguel",0.467357069255627,"2020-05-14","SERRA DE SÃO MIGUEL","SERRA DE SÃO MIGUEL","24005"
"5913912403205749cd1635f3","Microrregião de Arari",0.507356012316067,"2020-05-14","ARARI","ARARI","15006"
"5913910303205749cd1590de","Microrregião de Cruzeiro do Sul",0.502293153326522,"2020-05-14","CRUZEIRO DO SUL","CRUZEIRO DO SUL","12001"
