PAIS,UF,COD_UF,COD_MUNIC,CD_GEOCMU,MUNICIPIO,POP2019
BRA,PA,15,3606,1503606,Itaituba,101247
BRA,PA,15,3705,1503705,Itupiranga,53269
BRA,PA,15,3754,1503754,Jacareacanga,8239
BRA,PA,15,3804,1503804,Jacundá,59155
BRA,PA,15,3903,1503903,Juruti,57943
BRA,PA,15,4000,1504000,Limoeiro do Ajuru,28935
BRA,PA,15,4059,1504059,Mãe do Rio,30077
BRA,PA,15,4109,1504109,Magalhães Barata,8548
BRA,PA,15,4208,1504208,Marabá,279349
BRA,PA,15,4307,1504307,Maracanã,29473
BRA,PA,15,4406,1504406,Marapanim,28336
BRA,PA,15,4422,1504422,Marituba,131521
BRA,PA,15,4455,1504455,Medicilândia,31597
BRA,PA,15,4505,1504505,Melgaço,27654
BRA,PA,15,4604,1504604,Mocajuba,31136
BRA,PA,15,4703,1504703,Moju,82094
BRA,PA,15,4752,1504752,Mojuí dos Campos,16084
BRA,PA,15,4802,1504802,Monte Alegre,58032
BRA,PA,15,4901,1504901,Muaná,40349
BRA,PA,15,4950,1504950,Nova Esperança do Piriá,21368
BRA,PA,15,4976,1504976,Nova Ipixuna,16678
BRA,PA,15,5007,1505007,Nova Timboteua,15363
BRA,PA,15,5031,1505031,Novo Progresso,25762
BRA,PA,15,5064,1505064,Novo Repartimento,75919
BRA,PA,15,5106,1505106,Óbidos,52137
BRA,PA,15,5205,1505205,Oeiras do Pará,32512
BRA,PA,15,5304,1505304,Oriximiná,73096
BRA,PA,15,5403,1505403,Ourém,17842
BRA,PA,15,5437,1505437,Ourilândia do Norte,32832
BRA,PA,15,5486,1505486,Pacajá,47706
BRA,PA,15,5494,1505494,Palestina do Pará,7589
BRA,PA,15,5502,1505502,Paragominas,113145
BRA,PA,15,5536,1505536,Parauapebas,208273
BRA,PA,15,5551,1505551,Pau D'Arco,5483
BRA,PA,15,5601,1505601,Peixe-Boi,8077
BRA,PA,15,5635,1505635,Piçarra,12981
BRA,PA,15,5650,1505650,Placas,30982
BRA,PA,15,5700,1505700,Ponta de Pedras,31082
BRA,PA,15,5809,1505809,Portel,62043
BRA,PA,15,5908,1505908,Porto de Moz,41135
BRA,PA,15,6005,1506005,Prainha,29866
BRA,PA,15,6104,1506104,Primavera,10825
BRA,PA,15,6112,1506112,Quatipuru,13608
BRA,PA,15,6138,1506138,Redenção,84787
BRA,PA,15,6161,1506161,Rio Maria,18193
BRA,PA,15,6187,1506187,Rondon do Pará,52357
BRA,PA,15,6195,1506195,Rurópolis,50510
BRA,PA,15,6203,1506203,Salinópolis,40675
BRA,PA,15,6302,1506302,Salvaterra,23752
BRA,PA,15,6351,1506351,Santa Bárbara do Pará,21079
BRA,PA,15,6401,1506401,Santa Cruz do Arari,10128
BRA,PA,15,6500,1506500,Santa Izabel do Pará,70801
BRA,PA,15,6559,1506559,Santa Luzia do Pará,19848
BRA,PA,15,6583,1506583,Santa Maria das Barreiras,21449
BRA,PA,15,6609,1506609,Santa Maria do Pará,24861
BRA,PA,15,6708,1506708,Santana do Araguaia,72817
BRA,PA,15,6807,1506807,Santarém,304589
BRA,PA,15,6906,1506906,Santarém Novo,6709
BRA,PA,15,7003,1507003,Santo Antônio do Tauá,31482
BRA,PA,15,7102,1507102,São Caetano de Odivelas,18050
BRA,PA,15,7151,1507151,São Domingos do Araguaia,25557
BRA,PA,15,7201,1507201,São Domingos do Capim,31989
BRA,PA,15,7300,1507300,São Félix do Xingu,128481
BRA,PA,15,7409,1507409,São Francisco do Pará,15882
BRA,PA,15,7458,1507458,São Geraldo do Araguaia,24847
BRA,PA,15,7466,1507466,São João da Ponta,6139
BRA,PA,15,7474,1507474,São João de Pirabas,23045
BRA,PA,15,7508,1507508,São João do Araguaia,13996
BRA,PA,15,7607,1507607,São Miguel do Guamá,58986
BRA,PA,15,7706,1507706,São Sebastião da Boa Vista,26640
BRA,PA,15,7755,1507755,Sapucaia,5930
BRA,PA,15,7805,1507805,Senador José Porfírio,11658
BRA,PA,15,7904,1507904,Soure,25374
BRA,PA,15,7953,1507953,Tailândia,106339
BRA,PA,15,7961,1507961,Terra Alta,11720
BRA,PA,15,7979,1507979,Terra Santa,18769
BRA,PA,15,8001,1508001,Tomé-Açu,63447
BRA,PA,15,8035,1508035,Tracuateua,30959
BRA,PA,15,8050,1508050,Trairão,18989
BRA,PA,15,8084,1508084,Tucumã,39602
BRA,PA,15,8100,1508100,Tucuruí,113659
BRA,PA,15,8126,1508126,Ulianópolis,59210
BRA,PA,15,8159,1508159,Uruará,45476
BRA,PA,15,8209,1508209,Vigia,53686
BRA,PA,15,8308,1508308,Viseu,61403
BRA,PA,15,8357,1508357,Vitória do Xingu,15134
BRA,PA,15,8407,1508407,Xinguara,44751
BRA,AP,16,55,1600055,Serra do Navio,5397
BRA,AP,16,105,1600105,Amapá,9109
BRA,AP,16,154,1600154,Pedra Branca do Amapari,16502
BRA,AP,16,204,1600204,Calçoene,11117
BRA,AP,16,212,1600212,Cutias,5983
BRA,AP,16,238,1600238,Ferreira Gomes,7780
BRA,AP,16,253,1600253,Itaubal,5503
BRA,AP,16,279,1600279,Laranjal do Jari,50410
BRA,AP,16,303,1600303,Macapá,503327
BRA,AP,16,402,1600402,Mazagão,21632
BRA,AP,16,501,1600501,Oiapoque,27270
BRA,AP,16,535,1600535,Porto Grande,21971
BRA,AP,16,550,1600550,Pracuúba,5120
BRA,AP,16,600,1600600,Santana,121364
BRA,AP,16,709,1600709,Tartarugalzinho,17315
BRA,AP,16,808,1600808,Vitória do Jari,15931
BRA,TO,17,251,1700251,Abreulândia,2579
BRA,TO,17,301,1700301,Aguiarnópolis,6733
BRA,TO,17,350,1700350,Aliança do Tocantins,5390
BRA,TO,17,400,1700400,Almas,7055
BRA,TO,17,707,1700707,Alvorada,8412
BRA,TO,17,1002,1701002,Ananás,9549
BRA,TO,17,1051,1701051,Angico,3433
BRA,TO,17,1101,1701101,Aparecida do Rio Negro,4795
BRA,TO,17,1309,1701309,Aragominas,5758
BRA,TO,17,1903,1701903,Araguacema,7086
BRA,TO,17,2000,1702000,Araguaçu,8517
BRA,TO,17,2109,1702109,Araguaína,180470
BRA,TO,17,2158,1702158,Araguanã,5729
BRA,TO,17,2208,1702208,Araguatins,35761
BRA,TO,17,2307,1702307,Arapoema,6643
BRA,TO,17,2406,1702406,Arraias,10567
BRA,TO,17,2554,1702554,Augustinópolis,18412
BRA,TO,17,2703,1702703,Aurora do Tocantins,3757
BRA,TO,17,2901,1702901,Axixá do Tocantins,9756
BRA,TO,17,3008,1703008,Babaçulândia,10664
BRA,TO,17,3057,1703057,Bandeirantes do Tocantins,3553
BRA,TO,17,3073,1703073,Barra do Ouro,4591
BRA,TO,17,3107,1703107,Barrolândia,5632
BRA,TO,17,3206,1703206,Bernardo Sayão,4459
BRA,TO,17,3305,1703305,Bom Jesus do Tocantins,4894
BRA,TO,17,3602,1703602,Brasilândia do Tocantins,2201
BRA,TO,17,3701,1703701,Brejinho de Nazaré,5497
BRA,TO,17,3800,1703800,Buriti do Tocantins,11348
BRA,TO,17,3826,1703826,Cachoeirinha,2275
BRA,TO,17,3842,1703842,Campos Lindos,10116
BRA,TO,17,3867,1703867,Cariri do Tocantins,4382
BRA,TO,17,3883,1703883,Carmolândia,2580
BRA,TO,17,3891,1703891,Carrasco Bonito,4095
BRA,TO,17,3909,1703909,Caseara,5369
BRA,TO,17,4105,1704105,Centenário,2905
BRA,TO,17,4600,1704600,Chapada de Areia,1406
BRA,TO,17,5102,1705102,Chapada da Natividade,3333
BRA,TO,17,5508,1705508,Colinas do Tocantins,35424
BRA,TO,17,5557,1705557,Combinado,4852
BRA,TO,17,5607,1705607,Conceição do Tocantins,4105
BRA,TO,17,6001,1706001,Couto Magalhães,5588
BRA,TO,17,6100,1706100,Cristalândia,7289
BRA,TO,17,6258,1706258,Crixás do Tocantins,1722
BRA,TO,17,6506,1706506,Darcinópolis,6097
BRA,TO,17,7009,1707009,Dianópolis,22139
BRA,TO,17,7108,1707108,Divinópolis do Tocantins,6900
BRA,TO,17,7207,1707207,Dois Irmãos do Tocantins,7198
BRA,TO,17,7306,1707306,Dueré,4686
BRA,TO,17,7405,1707405,Esperantina,10996
BRA,TO,17,7553,1707553,Fátima,3835
BRA,TO,17,7652,1707652,Figueirópolis,5263
BRA,TO,17,7702,1707702,Filadélfia,8856
BRA,TO,17,8205,1708205,Formoso do Araguaia,18440
BRA,TO,17,8254,1708254,Fortaleza do Tabocão,2589
BRA,TO,17,8304,1708304,Goianorte,5123
BRA,TO,17,9005,1709005,Goiatins,13019
BRA,TO,17,9302,1709302,Guaraí,25923
BRA,TO,17,9500,1709500,Gurupi,86647
BRA,TO,17,9807,1709807,Ipueiras,2015
BRA,TO,17,10508,1710508,Itacajá,7433
BRA,TO,17,10706,1710706,Itaguatins,5864
BRA,TO,17,10904,1710904,Itapiratins,3777
BRA,TO,17,11100,1711100,Itaporã do Tocantins,2427
BRA,TO,17,11506,1711506,Jaú do Tocantins,3849
BRA,TO,17,11803,1711803,Juarina,2193
BRA,TO,17,11902,1711902,Lagoa da Confusão,13357
BRA,TO,17,11951,1711951,Lagoa do Tocantins,4316
BRA,TO,17,12009,1712009,Lajeado,3134
BRA,TO,17,12157,1712157,Lavandeira,1923
BRA,TO,17,12405,1712405,Lizarda,3740
BRA,TO,17,12454,1712454,Luzinópolis,3108
BRA,TO,17,12504,1712504,Marianópolis do Tocantins,5175
BRA,TO,17,12702,1712702,Mateiros,2684
BRA,TO,17,12801,1712801,Maurilândia do Tocantins,3426
BRA,TO,17,13205,1713205,Miracema do Tocantins,18248
BRA,TO,17,13304,1713304,Miranorte,13434
